periodStartDate;periodEndDate;periodDuration;in minutes;minCupolaTemp;maxCupolaTemp;avgCupolaTemp;cupolaTempChangeRate;minSmokeTemp;maxSmokeTemp;smokeTempChangeRate;minGasFlowRate;maxGasFlowRate;avgGasFlowRate;sumGasFlowRate
04.09.2010 16:53;04.09.2010 20:39;3:46:15;226,00;1160,40;1294,20;1244,75;35,48;90,60;400,00;82,05;0,00;39178,41;34036,34;125518,76
05.09.2010 10:59;05.09.2010 14:37;3:38:13;218,00;1191,00;1295,10;1258,41;28,62;93,40;387,60;80,89;0,00;40993,52;33551,28;122203,02
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220,00;1152,20;1270,50;1230,63;32,19;78,10;354,10;75,09;0,00;35410,78;30902,91;113756,09
07.09.2010 8:43;07.09.2010 12:24;3:40:32;220,00;1152,20;1270,50;1230,63;32,19;78,10;354,10;75,09;0,00;35410,78;30902,91;113756,09
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234,00;1178,00;1235,30;1221,77;13,38;83,70;400,00;73,88;0,00;45174,43;35973,57;137269,64
08.09.2010 3:07;08.09.2010 7:02;3:54:49;234,00;1178,00;1235,30;1221,77;13,38;83,70;400,00;73,88;0,00;45174,43;35973,57;137269,64
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234,00;1138,60;1279,80;1233,50;36,20;84,80;397,70;80,23;0,00;39631,33;33834,49;119440,77
08.09.2010 15:24;08.09.2010 19:18;3:54:01;234,00;1138,60;1279,80;1233,50;36,20;84,80;397,70;80,23;0,00;39631,33;33834,49;119440,77
12.09.2010 20:36;13.09.2010 0:13;3:37:02;217,00;1181,70;1280,70;1259,12;27,37;80,20;400,00;88,41;30,00;41610,59;31275,67;113116,77
14.09.2010 8:15;14.09.2010 11:55;3:40:26;220,00;1200,00;1288,30;1249,74;24,03;85,80;402,60;86,23;30,00;40058,34;29197,44;106767,99
14.09.2010 21:18;15.09.2010 1:04;3:45:54;225,00;1163,90;1264,10;1241,56;26,61;89,40;400,20;82,55;0,00;36660,51;32880,41;123739,27
16.09.2010 8:33;16.09.2010 11:48;3:14:26;194,00;1211,90;1282,10;1254,37;21,66;86,60;400,80;96,96;0,00;39871,54;33000,13;107003,40
16.09.2010 14:17;16.09.2010 17:42;3:24:45;204,00;1209,80;1271,40;1239,03;18,05;92,10;400,10;90,26;0,00;40950,51;33752,57;114828,25
16.09.2010 20:10;16.09.2010 23:44;3:34:06;214,00;1204,80;1263,60;1246,12;16,48;96,80;410,50;87,91;0,00;39605,04;33680,32;120267,34
16.09.2010 20:10;16.09.2010 23:44;3:34:06;214,00;1204,80;1263,60;1246,12;16,48;96,80;410,50;87,91;0,00;39605,04;33680,32;120267,34
17.09.2010 3:01;17.09.2010 6:36;3:35:32;215,00;1191,70;1297,90;1279,01;29,56;85,50;392,80;85,55;12107,73;42327,27;34032,45;122379,50
17.09.2010 9:39;17.09.2010 13:12;3:33:33;213,00;1147,20;1238,50;1204,97;25,65;87,70;325,40;66,79;18908,59;35690,61;30285,67;107871,95
17.09.2010 15:51;17.09.2010 19:47;3:55:31;235,00;1172,60;1261,60;1243,01;22,67;86,80;400,00;79,79;0,00;37908,66;34437,94;133898,08
17.09.2010 22:27;18.09.2010 2:09;3:42:52;222,00;1181,30;1294,80;1274,26;30,56;89,60;347,30;69,38;14160,54;38347,60;34201,76;127146,11
18.09.2010 10:57;18.09.2010 14:29;3:31:39;211,00;1214,70;1313,40;1294,97;27,98;89,80;400,00;87,94;0,00;36440,12;33029,70;116451,54
18.09.2010 16:54;18.09.2010 20:33;3:39:29;219,00;1235,30;1297,70;1281,88;17,06;91,00;400,10;84,50;0,00;43623,63;34992,16;128201,39
19.09.2010 0:11;19.09.2010 3:03;2:51:20;171,00;1235,30;1299,00;1278,75;22,31;81,90;393,60;109,16;8955,91;39081,02;34863,54;99582,89
19.09.2010 10:49;19.09.2010 14:26;3:36:53;216,00;1225,60;1290,40;1267,11;17,93;91,60;389,00;82,27;0,00;37603,56;33165,45;119888,00
19.09.2010 16:46;19.09.2010 20:11;3:25:07;205,00;1200,00;1290,40;1266,56;26,44;87,90;407,50;93,49;0,00;37696,25;32826,55;111837,95
19.09.2010 23:15;20.09.2010 3:08;3:53:31;233,00;1214,90;1314,70;1295,96;25,64;88,70;400,50;80,11;0,00;35196,13;31830,42;123665,02
20.09.2010 20:15;21.09.2010 0:10;3:54:53;234,00;1200,20;1305,80;1276,06;26,98;94,20;360,80;68,10;0,00;36199,44;30993,00;121318,22
21.09.2010 2:22;21.09.2010 5:50;3:27:24;207,00;1228,50;1296,40;1274,33;19,64;93,60;371,70;80,45;0,00;36061,53;31702,92;109429,37
21.09.2010 8:37;21.09.2010 12:29;3:52:07;232,00;1182,90;1286,50;1258,83;26,78;91,30;395,50;78,63;12262,33;40742,46;32924,39;127516,84
21.09.2010 14:41;21.09.2010 18:11;3:29:40;209,00;1226,30;1286,00;1273,02;17,08;96,70;400,20;86,85;0,00;36836,49;32262,95;112782,19
21.09.2010 21:07;22.09.2010 0:43;3:35:30;215,00;1225,60;1310,60;1277,58;23,67;92,90;356,00;73,25;0,00;35928,17;29946,03;107560,77
22.09.2010 3:36;22.09.2010 8:05;4:29:47;269,00;1200,00;1324,30;1298,01;27,64;82,60;400,30;70,66;0,00;38423,13;32396,11;145181,36
23.09.2010 19:10;23.09.2010 23:15;4:04:31;244,00;1243,00;1316,30;1291,69;17,99;85,60;400,40;77,25;0,00;43855,63;35046,13;118584,32
24.09.2010 8:15;24.09.2010 12:00;3:45:25;225,00;1243,70;1289,30;1267,67;12,14;82,70;400,90;84,70;0,00;42197,04;33978,45;127661,54
24.09.2010 14:50;24.09.2010 19:18;4:27:52;267,00;1226,00;1333,20;1308,60;24,01;93,30;400,70;68,86;0,00;37905,22;32928,30;123635,60
24.09.2010 21:10;25.09.2010 0:52;3:41:46;221,00;1244,60;1313,20;1297,22;18,56;94,90;400,40;82,65;0,00;39260,75;34818,96;128459,23
25.09.2010 3:38;25.09.2010 7:29;3:50:51;230,00;1200,00;1328,70;1294,58;33,45;85,50;400,50;81,87;0,00;40521,55;32742,60;125984,46
25.09.2010 10:12;25.09.2010 13:55;3:42:48;222,00;1232,40;1321,50;1299,96;23,99;85,90;387,00;81,09;0,00;36541,69;32221,68;119830,36
25.09.2010 16:38;25.09.2010 20:28;3:49:19;229,00;1234,20;1316,50;1270,62;21,53;87,00;361,30;71,77;0,00;40628,53;28842,57;110603,71
25.09.2010 22:42;26.09.2010 2:33;3:51:10;231,00;1206,60;1338,80;1285,47;34,31;87,50;378,00;75,40;0,00;38355,74;28947,88;111540,70
26.09.2010 4:52;26.09.2010 8:31;3:38:33;218,00;1202,00;1304,30;1282,83;28,09;84,80;400,00;86,53;0,00;38532,54;32335,21;117964,09
26.09.2010 10:55;26.09.2010 14:56;4:01:00;241,00;1234,60;1287,30;1269,58;13,12;82,70;379,90;73,99;19102,70;34485,55;30757,41;123575,63
26.09.2010 17:29;26.09.2010 21:09;3:40:03;220,00;1223,10;1313,70;1299,10;24,70;88,40;384,40;80,71;13281,80;39312,01;33129,72;121610,25
26.09.2010 23:19;27.09.2010 2:45;3:25:49;205,00;1229,00;1326,90;1298,18;28,54;90,80;400,50;90,28;0,00;36664,77;31540,85;107774,22
27.09.2010 5:03;27.09.2010 8:17;3:14:07;194,00;1254,70;1326,30;1305,86;22,13;95,50;410,70;97,43;0,00;41217,58;32713,81;105845,78
27.09.2010 10:54;27.09.2010 14:12;3:17:49;197,00;1200,00;1322,20;1305,54;37,06;84,00;400,00;95,85;0,00;38159,25;31565,87;99442,84
28.09.2010 0:03;28.09.2010 3:22;3:18:42;196,00;1183,10;1279,80;1255,17;29,20;84,20;337,30;76,43;0,00;39277,99;33041,38;109447,07
28.09.2010 6:15;28.09.2010 9:52;3:36:53;216,00;1199,30;1311,30;1292,66;30,98;87,90;400,00;86,34;0,00;39440,97;31389,29;112857,91
29.09.2010 2:30;29.09.2010 6:33;4:02:29;242,00;1181,00;1320,00;1268,09;34,39;82,20;311,80;56,81;0,00;38937,27;32613,50;131985,20
29.09.2010 16:31;29.09.2010 20:53;4:21:56;261,00;1189,40;1305,60;1258,49;26,62;81,20;322,70;55,32;0,00;38490,62;31663,99;138391,80
29.09.2010 23:56;30.09.2010 4:08;4:12:11;252,00;1191,20;1299,20;1276,64;25,70;85,40;335,80;59,58;0,00;36473,21;33243,25;139900,91
30.09.2010 6:26;30.09.2010 10:38;4:12:29;252,00;1218,10;1284,50;1260,40;15,78;85,10;400,40;74,93;0,00;41445,87;33057,38;139168,48
30.09.2010 20:40;01.10.2010 0:25;3:45:08;225,00;1205,00;1307,80;1287,89;27,40;74,20;378,30;81,05;0,00;39742,23;32235,67;121001,20
01.10.2010 3:02;01.10.2010 7:07;4:05:05;245,00;1200,00;1296,60;1275,03;23,65;71,30;400,00;80,47;30,00;41389,29;33229,45;135196,27
01.10.2010 9:36;01.10.2010 13:18;3:41:47;221,00;1227,40;1332,80;1290,67;28,51;73,60;361,50;77,89;25421,79;36052,14;31097,63;114931,08
02.10.2010 13:20;02.10.2010 16:48;3:27:31;207,00;1202,00;1299,20;1283,28;28,10;83,50;361,70;80,44;0,00;36987,47;32151,29;111136,59
02.10.2010 13:20;02.10.2010 16:48;3:27:31;207,00;1202,00;1299,20;1283,28;28,10;83,50;361,70;80,44;0,00;36987,47;32151,29;111136,59
03.10.2010 0:19;03.10.2010 3:51;3:32:11;212,00;1190,30;1305,20;1277,83;32,49;82,20;365,60;80,14;0,00;39107,22;31392,84;110944,83
03.10.2010 6:06;03.10.2010 10:05;3:59:00;239,00;1206,20;1312,10;1287,64;26,59;78,70;400,30;80,74;0,00;40867,76;31857,70;126902,71
03.10.2010 12:42;03.10.2010 16:09;3:27:01;207,00;1216,30;1304,50;1249,57;25,56;76,50;401,00;94,05;0,00;42672,24;33649,08;116194,64
04.10.2010 8:12;04.10.2010 12:11;3:59:06;239,00;1158,30;1302,30;1256,22;36,14;71,30;304,80;58,59;0,00;40430,63;33827,68;134994,66
04.10.2010 14:41;04.10.2010 18:09;3:28:49;208,00;1147,20;1297,20;1233,55;43,10;75,00;307,80;66,89;0,00;42979,32;32820,06;114223,61
04.10.2010 14:41;04.10.2010 18:09;3:28:49;208,00;1147,20;1297,20;1233,55;43,10;75,00;307,80;66,89;0,00;42979,32;32820,06;114223,61
05.10.2010 9:34;05.10.2010 13:22;3:47:43;227,00;1219,50;1319,80;1278,56;26,43;71,50;360,70;76,20;0,00;38288,47;31707,57;120366,04
05.10.2010 15:53;05.10.2010 19:49;3:56:29;236,00;1227,00;1336,00;1296,83;27,66;75,80;400,00;82,26;0,00;37622,48;32247,60;127019,38
05.10.2010 22:15;06.10.2010 1:56;3:41:10;221,00;1242,60;1327,40;1304,75;23,01;74,60;376,50;81,90;0,00;37402,65;32011,81;118177,31
06.10.2010 4:12;06.10.2010 7:51;3:38:58;218,00;1250,50;1321,90;1301,61;19,56;76,50;400,00;88,64;0,00;38358,01;32609,83;118891,39
06.10.2010 17:00;06.10.2010 20:38;3:38:55;218,00;1200,00;1302,50;1255,27;28,09;72,80;400,00;89,68;0,00;42362,32;34211,60;124186,34
06.10.2010 23:01;07.10.2010 2:55;3:53:31;233,00;1212,60;1323,50;1298,39;28,49;74,80;400,30;83,63;0,00;35194,89;31923,59;123593,35
07.10.2010 5:28;07.10.2010 9:26;3:58:46;238,00;1230,80;1324,10;1304,55;23,45;71,60;407,60;84,43;19970,03;38210,86;32148,88;128015,89
07.10.2010 11:40;07.10.2010 15:28;3:47:41;227,00;1234,40;1316,30;1287,22;21,58;74,10;400,30;85,96;0,00;38673,31;29865,66;113255,62
08.10.2010 21:04;09.10.2010 0:47;3:43:27;223,00;1211,70;1306,00;1272,22;25,32;72,40;400,60;88,13;0,00;39436,79;33926,88;126459,27
09.10.2010 3:26;09.10.2010 7:23;3:57:06;237,00;1226,70;1321,90;1288,90;24,09;75,40;400,50;82,27;0,00;41537,72;31851,94;124960,23
09.10.2010 9:56;09.10.2010 13:48;3:52:55;232,00;1237,10;1326,50;1297,08;23,03;63,00;400,30;86,89;0,00;37847,70;32028,04;124331,25
09.10.2010 16:17;09.10.2010 19:51;3:34:11;214,00;1200,00;1310,80;1299,19;31,04;73,00;400,30;91,69;0,00;39757,29;33084,86;118276,74
09.10.2010 22:56;10.10.2010 2:37;3:40:42;220,00;1238,90;1330,00;1303,70;24,77;76,90;364,60;78,21;0,00;39739,39;32897,70;121196,45
10.10.2010 4:33;10.10.2010 7:47;3:13:46;193,00;1254,90;1300,50;1282,93;14,12;82,90;408,80;100,92;0,00;41155,20;34436,61;111321,18
10.10.2010 17:19;10.10.2010 21:26;4:06:55;246,00;1227,80;1305,80;1279,43;18,95;76,40;400,00;78,63;0,00;36909,00;31580,37;129964,31
11.10.2010 0:00;11.10.2010 4:00;4:00:28;240,00;1234,90;1330,20;1310,02;23,78;84,90;385,30;74,95;0,00;34925,77;30310,57;121653,77
11.10.2010 6:08;11.10.2010 9:41;3:33:05;213,00;1255,10;1299,40;1288,03;12,47;85,90;404,80;89,80;0,00;37181,98;32001,33;113828,48
12.10.2010 1:22;12.10.2010 5:17;3:54:26;234,00;1189,20;1293,90;1255,28;26,80;74,10;389,50;80,72;0,00;38773,96;32916,74;128544,92
12.10.2010 18:39;12.10.2010 22:12;3:32:54;212,00;1231,00;1305,80;1287,93;21,08;81,70;400,00;89,70;0,00;38141,27;32569,82;115724,76
13.10.2010 0:01;13.10.2010 3:54;3:52:16;232,00;1188,70;1299,00;1255,19;28,49;75,80;374,20;77,08;0,00;41402,08;32342,00;125138,05
13.10.2010 5:53;13.10.2010 9:34;3:40:43;220,00;1214,40;1287,10;1270,86;19,76;75,00;333,00;70,14;0,00;39293,90;32869,06;120785,20
13.10.2010 11:39;13.10.2010 15:36;3:57:20;237,00;1213,00;1267,80;1248,32;13,85;78,30;399,60;81,23;25571,25;40448,22;32048,92;126810,20
13.10.2010 18:31;13.10.2010 22:18;3:47:22;227,00;1191,20;1270,10;1227,34;20,82;80,00;329,30;65,79;0,00;38641,87;30346,78;114927,56
13.10.2010 18:31;13.10.2010 22:18;3:47:22;227,00;1191,20;1270,10;1227,34;20,82;80,00;329,30;65,79;0,00;38641,87;30346,78;114927,56
14.10.2010 22:33;15.10.2010 2:53;4:20:32;260,00;1222,40;1323,00;1298,28;23,17;79,00;390,80;71,81;0,00;39349,09;32312,46;140321,11
15.10.2010 23:57;16.10.2010 3:40;3:43:20;223,00;1205,70;1299,90;1266,37;25,31;76,70;400,30;86,94;0,00;39914,84;32902,46;122608,46
16.10.2010 13:09;16.10.2010 16:25;3:16:01;196,00;1221,50;1314,10;1286,96;28,34;82,90;323,50;73,65;0,00;42082,30;30814,94;100494,30
17.10.2010 1:24;17.10.2010 5:14;3:50:08;230,00;1238,50;1301,70;1276,29;16,48;75,50;377,00;78,61;11250,77;39457,25;31933,80;122602,05
17.10.2010 7:12;17.10.2010 10:53;3:41:34;221,00;1200,40;1328,40;1281,58;34,66;79,20;400,30;86,95;0,00;37929,71;29486,81;107046,02
17.10.2010 18:49;17.10.2010 22:14;3:25:29;205,00;1207,50;1303,80;1280,35;28,12;79,20;350,00;79,07;16093,26;35689,39;30492,77;104403,02
18.10.2010 0:15;18.10.2010 3:53;3:38:03;218,00;1208,70;1295,70;1277,49;23,94;81,10;400,30;87,83;0,00;38741,49;31868,94;115856,63
19.10.2010 0:51;19.10.2010 4:56;4:05:13;245,00;1181,00;1306,70;1246,95;30,76;71,10;397,00;79,74;0,00;36844,27;29850,40;122034,02
21.10.2010 4:28;21.10.2010 7:48;3:19:59;199,00;1200,00;1326,50;1288,32;37,95;93,80;402,00;92,47;0,00;34448,28;30175,49;99954,16
21.10.2010 10:40;21.10.2010 14:08;3:28:43;208,00;1200,00;1334,30;1305,42;38,61;87,50;400,00;89,83;30,00;36823,29;31635,87;109947,58
21.10.2010 16:40;21.10.2010 20:28;3:48:04;228,00;1200,00;1328,90;1305,19;33,91;84,50;400,00;83,00;0,00;38109,63;32119,06;122232,93
21.10.2010 23:00;22.10.2010 3:04;4:04:10;244,00;1249,30;1335,20;1314,17;21,11;93,60;400,50;75,42;0,00;38263,30;31740,48;129159,44
22.10.2010 5:44;22.10.2010 9:46;4:02:19;242,00;1200,00;1338,00;1318,41;34,17;84,40;400,00;78,15;0,00;39107,45;32108,89;128733,07
22.10.2010 12:17;22.10.2010 16:07;3:49:22;229,00;1266,70;1365,70;1337,74;25,90;80,70;400,50;83,66;0,00;35696,45;29754,59;113596,84
22.10.2010 18:42;22.10.2010 22:13;3:31:05;211,00;1219,00;1322,20;1290,12;29,33;84,50;400,00;89,68;0,00;37548,35;31961,02;112712,63
23.10.2010 0:35;23.10.2010 4:10;3:35:05;215,00;1253,80;1330,60;1314,63;21,42;85,20;400,30;87,90;0,00;40890,90;32297,34;115599,94
23.10.2010 7:06;23.10.2010 10:53;3:47:16;227,00;1200,00;1294,60;1273,67;24,98;80,00;415,10;88,47;0,00;40462,82;33183,50;124918,84
23.10.2010 13:53;23.10.2010 17:26;3:32:45;212,00;1242,40;1352,80;1320,00;31,14;85,80;403,80;89,68;0,00;36135,11;29717,24;105533,29
23.10.2010 19:19;23.10.2010 22:43;3:23:45;203,00;1200,00;1357,10;1341,62;46,26;86,80;400,70;92,44;0,00;36391,96;29648,08;95042,03
24.10.2010 1:16;24.10.2010 4:53;3:37:06;217,00;1228,30;1342,10;1306,04;31,45;79,60;400,20;88,60;0,00;35726,10;30971,31;112071,27
24.10.2010 13:39;24.10.2010 17:11;3:32:44;212,00;1229,90;1341,90;1308,15;31,59;80,40;400,70;90,34;0,00;41251,05;32520,39;115482,79
24.10.2010 20:12;24.10.2010 23:45;3:32:20;212,00;1235,80;1361,60;1327,99;35,55;85,20;378,90;82,99;0,00;40124,59;32970,57;116866,63
25.10.2010 15:41;25.10.2010 19:34;3:52:50;232,00;1254,00;1336,70;1315,16;22,91;85,00;400,30;87,35;0,00;35091,89;30664,81;110698,28
25.10.2010 21:48;26.10.2010 1:24;3:36:35;216,00;1267,40;1365,30;1349,28;25,67;85,00;402,40;83,22;0,00;34257,00;30123,56;110367,80
26.10.2010 10:03;26.10.2010 14:12;4:09:01;249,00;1200,00;1340,80;1284,78;37,01;86,30;400,00;82,47;0,00;37959,45;32642,07;123156,09
27.10.2010 5:26;27.10.2010 9:10;3:43:53;223,00;1250,70;1334,60;1302,65;22,42;90,70;400,50;82,79;0,00;32013,45;27928,64;104667,93
27.10.2010 18:04;27.10.2010 21:25;3:20:59;200,00;1200,00;1329,50;1294,62;33,11;85,20;400,00;80,48;0,00;41453,83;29753,88;98911,29
28.10.2010 13:16;28.10.2010 16:59;3:42:54;222,00;1200,00;1344,90;1325,36;38,14;85,40;400,00;82,81;0,00;36521,97;30660,59;106793,69
28.10.2010 19:10;28.10.2010 22:58;3:47:57;227,00;1262,70;1361,00;1342,30;26,28;80,40;400,40;85,55;0,00;35741,64;30482,95;114015,59
29.10.2010 8:28;29.10.2010 11:55;3:27:30;207,00;1283,80;1365,50;1338,47;25,95;87,60;400,30;99,30;0,00;43353,76;30158,04;94966,24
30.10.2010 10:00;30.10.2010 13:10;3:10:14;190,00;1239,20;1305,20;1283,71;15,03;88,60;409,70;73,11;0,00;37070,69;28821,59;124905,26
